LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,GNI,TOT,USD_CAP,A,1990,19530.65099,E
AUT,GNI,TOT,USD_CAP,A,1991,20569.55236,E
AUT,GNI,TOT,USD_CAP,A,1992,21312.20866,E
AUT,GNI,TOT,USD_CAP,A,1993,21758.42944,E
AUT,GNI,TOT,USD_CAP,A,1994,22641.79423,E
AUT,GNI,TOT,USD_CAP,A,1995,23569.38897,
AUT,GNI,TOT,USD_CAP,A,1996,24515.41027,
AUT,GNI,TOT,USD_CAP,A,1997,25306.39415,
AUT,GNI,TOT,USD_CAP,A,1998,26512.45299,
AUT,GNI,TOT,USD_CAP,A,1999,27169.07744,
AUT,GNI,TOT,USD_CAP,A,2000,29124.22009,
AUT,GNI,TOT,USD_CAP,A,2001,29308.86609,
AUT,GNI,TOT,USD_CAP,A,2002,30997.10108,
AUT,GNI,TOT,USD_CAP,A,2003,32040.45577,
AUT,GNI,TOT,USD_CAP,A,2004,33706.95953,
AUT,GNI,TOT,USD_CAP,A,2005,34950.38938,
AUT,GNI,TOT,USD_CAP,A,2006,37714.12805,
AUT,GNI,TOT,USD_CAP,A,2007,39354.24166,
AUT,GNI,TOT,USD_CAP,A,2008,41660.64267,
AUT,GNI,TOT,USD_CAP,A,2009,40917.78994,
AUT,GNI,TOT,USD_CAP,A,2010,42369.27322,
AUT,GNI,TOT,USD_CAP,A,2011,44619.14349,
AUT,GNI,TOT,USD_CAP,A,2012,46524.5859,
AUT,GNI,TOT,USD_CAP,A,2013,48065.98008,
AUT,GNI,TOT,USD_CAP,A,2014,48877.87702,
AUT,GNI,TOT,USD_CAP,A,2015,49462.07759,
AUT,GNI,TOT,USD_CAP,A,2016,51578.10906,
AUT,GNI,TOT,USD_CAP,A,2017,53751.44616,
BEL,GNI,TOT,USD_CAP,A,1990,18806.64593,E
BEL,GNI,TOT,USD_CAP,A,1991,19798.6955,E
BEL,GNI,TOT,USD_CAP,A,1992,20470.90518,E
BEL,GNI,TOT,USD_CAP,A,1993,20877.53012,E
BEL,GNI,TOT,USD_CAP,A,1994,22116.10393,E
BEL,GNI,TOT,USD_CAP,A,1995,23013.28445,
BEL,GNI,TOT,USD_CAP,A,1996,23407.90315,
BEL,GNI,TOT,USD_CAP,A,1997,24494.58041,
BEL,GNI,TOT,USD_CAP,A,1998,25144.6598,
BEL,GNI,TOT,USD_CAP,A,1999,26224.33888,
BEL,GNI,TOT,USD_CAP,A,2000,28692.76794,
BEL,GNI,TOT,USD_CAP,A,2001,29482.80476,
BEL,GNI,TOT,USD_CAP,A,2002,30989.01918,
BEL,GNI,TOT,USD_CAP,A,2003,31629.6395,
BEL,GNI,TOT,USD_CAP,A,2004,32665.26368,
BEL,GNI,TOT,USD_CAP,A,2005,33722.09288,
BEL,GNI,TOT,USD_CAP,A,2006,35866.18201,
BEL,GNI,TOT,USD_CAP,A,2007,37355.37221,
BEL,GNI,TOT,USD_CAP,A,2008,39027.38875,
