Year,Sector,Coal,Peat,Oil,NatGas,Renewable,NonRenWaste,Elec
1990,Transport,0,0,2017.4141,0,0,0,1.38
1991,Transport,0,0,2065.0635,0,0,0,1.46
1992,Transport,0,0,2158.1096,0,0,0,1.46
1993,Transport,0,0,2298.0435,0,0,0,1.55
1994,Transport,0,0,2322.9513,0,0,0,1.55
1995,Transport,0,0,2370.2544,0,0,0,1.55
1996,Transport,0,0,2653.5741,0,0,0,1.63
1997,Transport,0,0,2845.3069,0,0,0,1.98
1998,Transport,0,0,3290.5873,0,0,0,2.06
1999,Transport,0,0,3665.5121,0,0,0,2.15
2000,Transport,0,0,4100.9898,0,0,0,2.24
2001,Transport,0,0,4384.4287,0,0,0,2.24
2002,Transport,0,0,4497.5185,0,0,0,1.98
2003,Transport,0,0,4546.4156,0,0,0,1.98
2004,Transport,0,0,4739.7982,0,0,0,4.34
2005,Transport,0,0,5076.0677,2.2,1.1,0,5.07
2006,Transport,0,0,5428.3005,1.85,2.66,0,4.87
2007,Transport,0,0,5688.6941,1.34,21.54,0,4.38
2008,Transport,0,0,5383.8671,1.27,55.57,0,4.65
2009,Transport,0,0,4782.0597,1.29,77.42,0,3.85
2010,Transport,0,0,4500.7297,2.1,92.59,0,3.92
2011,Transport,0,0,4320.6794,3.63,97.79,0,3.92
2012,Transport,0,0,4083.5521,4.14,84.87,0,3.91
2013,Transport,0,0,4241.9643,3.45,102.24,0,3.65
2014,Transport,0,0,4402.4703,2.85,116.18,0,3.46
2015,Transport,0,0,4650.6187,3.92,128.13,0,3.74
2016,Transport,0,0,4825.0528,21.29,118.48,0,4.2
2017,Transport,0,0,4881.8192,20.23,160.64,0,4.51
1990,Residential,626,725,389,117,45,0,356
1991,Residential,699,622,417,161,40,0,374
1992,Residential,476,645,399,187,32,0,396
1993,Residential,476,612,413,217,33,0,403
1994,Residential,338,611,535,239,32,0,415
1995,Residential,246,606,647,252,30,0,427
1996,Residential,368,484,665,303,27,0,449
1997,Residential,278,462,721,286,24,0,458
1998,Residential,320,464,785,339,25,0,474
1999,Residential,263,324,926,387,18,0,517
2000,Residential,286,299,915,439,17,0,548
2001,Residential,264,288,"1,011",482,17,0,579
2002,Residential,252,290,"1,010",476,17,0,566
2003,Residential,239,270,"1,059",539,17,0,599
2004,Residential,231,266,"1,094",601,17,0,632
2005,Residential,246,273,"1,145",607,20,0,646
2006,Residential,219,284,"1,116",632,22,0,695
2007,Residential,208,271,"1,101",593,31,0,693
2008,Residential,230,280,"1,197",669,32,0,733
2009,Residential,267,272,"1,173",625,41,0,699
2010,Residential,254,254,"1,263",710,44,0,735
2011,Residential,230,241,"1,035",569,42,0,712
2012,Residential,242,215,910,600,50,0,698
2013,Residential,273,218,917,606,52,0,684
2014,Residential,219,200,857,536,52,0,663
2015,Residential,206,201,956,555,62,0,678
2016,Residential,179,197,"1,005",563,66,0,677
2017,Residential,149,188,967,555,65,0,684
