Year,Sector,Fuel,ktoe
1990,Transport,Coal,0
1991,Transport,Coal,0
1992,Transport,Coal,0
1993,Transport,Coal,0
1994,Transport,Coal,0
1995,Transport,Coal,0
1996,Transport,Coal,0
1997,Transport,Coal,0
1998,Transport,Coal,0
1999,Transport,Coal,0
2000,Transport,Coal,0
2001,Transport,Coal,0
2002,Transport,Coal,0
2003,Transport,Coal,0
2004,Transport,Coal,0
2005,Transport,Coal,0
2006,Transport,Coal,0
2007,Transport,Coal,0
2008,Transport,Coal,0
2009,Transport,Coal,0
2010,Transport,Coal,0
2011,Transport,Coal,0
2012,Transport,Coal,0
2013,Transport,Coal,0
2014,Transport,Coal,0
2015,Transport,Coal,0
2016,Transport,Coal,0
2017,Transport,Coal,0
1990,Residential,Coal,626
1991,Residential,Coal,699
1992,Residential,Coal,476
1993,Residential,Coal,476
1994,Residential,Coal,338
1995,Residential,Coal,246
1996,Residential,Coal,368
1997,Residential,Coal,278
1998,Residential,Coal,320
1999,Residential,Coal,263
2000,Residential,Coal,286
2001,Residential,Coal,264
2002,Residential,Coal,252
2003,Residential,Coal,239
2004,Residential,Coal,231
2005,Residential,Coal,246
2006,Residential,Coal,219
2007,Residential,Coal,208
2008,Residential,Coal,230
2009,Residential,Coal,267
2010,Residential,Coal,254
2011,Residential,Coal,230
2012,Residential,Coal,242
2013,Residential,Coal,273
2014,Residential,Coal,219
2015,Residential,Coal,206
2016,Residential,Coal,179
2017,Residential,Coal,149
1990,Industry,Coal,216
1991,Industry,Coal,217
1992,Industry,Coal,109
1993,Industry,Coal,134
1994,Industry,Coal,52
1995,Industry,Coal,71
1996,Industry,Coal,119
1997,Industry,Coal,90
1998,Industry,Coal,78
1999,Industry,Coal,64
2000,Industry,Coal,113
2001,Industry,Coal,129
2002,Industry,Coal,122
2003,Industry,Coal,175
2004,Industry,Coal,194
2005,Industry,Coal,212
2006,Industry,Coal,183
2007,Industry,Coal,186
2008,Industry,Coal,165
2009,Industry,Coal,112
2010,Industry,Coal,113
2011,Industry,Coal,98
2012,Industry,Coal,97
2013,Industry,Coal,82
2014,Industry,Coal,107
2015,Industry,Coal,106
2016,Industry,Coal,106
2017,Industry,Coal,102
1990,Services,Coal,1
1991,Services,Coal,0
1992,Services,Coal,0
1993,Services,Coal,0
1994,Services,Coal,0
1995,Services,Coal,0
1996,Services,Coal,0
1997,Services,Coal,0
1998,Services,Coal,0
1999,Services,Coal,0
2000,Services,Coal,0
2001,Services,Coal,0
2002,Services,Coal,0
2003,Services,Coal,27
2004,Services,Coal,27
2005,Services,Coal,27
2006,Services,Coal,27
2007,Services,Coal,27
2008,Services,Coal,27
2009,Services,Coal,0
2010,Services,Coal,0
2011,Services,Coal,0
2012,Services,Coal,0
2013,Services,Coal,0
2014,Services,Coal,0
2015,Services,Coal,0
2016,Services,Coal,0
2017,Services,Coal,0
1990,Agri & Fisheries,Coal,0
1991,Agri & Fisheries,Coal,0
1992,Agri & Fisheries,Coal,0
1993,Agri & Fisheries,Coal,0
1994,Agri & Fisheries,Coal,0
1995,Agri & Fisheries,Coal,0
1996,Agri & Fisheries,Coal,0
1997,Agri & Fisheries,Coal,0
